23,SINDICATO DE TRABAJADORES INDEPENDIENTES FERIA COSTANERA DE TONGOY,SINDICATO DE TRABAJADORES INDEPENDIENTES FERIA COSTANERA DE TONGOY,Sindicato,10035000,Coquimbo
24,AGRUPACION ENCANTADOS POR EL ARTE,AGRUPACION ENCANTADOS POR EL ARTE,Agrupación,5000000,Coquimbo
25,SINDICATO DE TRABAJADORAS INDEPENDIENTES DE FERIAS LAS PULGAS ILLAPEL,SINDICATO DE TRABAJADORAS INDEPENDIENTES DE FERIAS LAS PULGAS ILLAPEL,Sindicato,10035000,Coquimbo
26,AGRUPACION FERIA DOMINGUERA MUJERES EMPRENDEDORAS,AGRUPACION FERIA DOMINGUERA MUJERES EMPRENDEDORAS,Agrupación,6636363,Coquimbo
27,COMUNIDAD EDIFICIO CARACOL COLONIAL,COMUNIDAD EDIFICIO CARACOL COLONIAL,Agrupación,10000000,Coquimbo
28,Sindicato comerciantes bazares futuro del mañana,Sindicato comerciantes bazares futuro del mañana,Sindicato,5000000,Valparaiso 
29,Comité productivo feria libre los aromos de san Esteban,Comité productivo feria libre los aromos de san Esteban,Comité,5600000,Valparaiso 
30,Feria hortofruticola los placillanos,Feria hortofruticola los placillanos,Agrupación,5000000,Valparaiso 
31,Sindicato de trabajadores independientes comerciantes de feria de avenida Argentina de valparaíso,Sindicato de trabajadores independientes comerciantes de feria de avenida Argentina de valparaíso,Sindicato,30000000,Valparaiso 
32,Sindicato de trabajadores independientes feria n°2 de el Tabo,Sindicato de trabajadores independientes feria n°2 de el Tabo,Sindicato,9500000,Valparaiso 
33,inmobiliaria belloto centro s.a.,inmobiliaria belloto centro s.a.,Sociedad,20000000,Valparaiso 
34,Feria los Cipreses,Feria los Cipreses,Agrupación,5000000,Valparaiso 
35,Asociación gremial de comerciantes y productores de la feria porvenir Concón,Asociación gremial de comerciantes y productores de la feria porvenir Concón,Asociación Gremial,10000000,Valparaiso 
36,Asociación de feriantes mayoristas Afema s.a,Asociación de feriantes mayoristas Afema s.a,Agrupación,20000000,Valparaiso 
37,Agrupación feria municipal el belloto de Quilpué,Agrupación feria municipal el belloto de Quilpué,Agrupación,21993556,Valparaiso 
38,Feria los llanos de Curauma placilla,Feria los llanos de Curauma placilla,Agrupación,5000000,Valparaiso 
39,Sociedad campo verde limitada,Sociedad campo verde limitada,Sociedad,10000000,Valparaiso 
40,Emprendiendo el futuro,Emprendiendo el futuro,Agrupación,5000000,Valparaiso 
41,Agrupación de la feria de Llay llay,Agrupación de la feria de Llay llay,Agrupación,8000000,Valparaiso 
42,Agrupación limay la cruz,Agrupación limay la cruz,Agrupación,5000000,Valparaiso 
43,Sindicato de trabajadores independientes vendedores de productos del mar sector almendral pasaje Talcahuano,Sindicato de trabajadores independientes vendedores de productos del mar sector almendral pasaje Talcahuano,Sindicato,5000000,Valparaiso 
44,AGRUPACION FERIA OFICIAL DE PIRQUE,AGRUPACION FERIA OFICIAL DE PIRQUE,Agrupación,9105890,Metropolitana
45,ASOCIACIÓN GREMIAL FERIA LOS CONCILIOS DE PROVIDENCIA,ASOCIACIÓN GREMIAL FERIA LOS CONCILIOS DE PROVIDENCIA,Asociación Gremial,9751246,Metropolitana
46,SINDICATO DE TRABAJADORES DE FERIAS LIBRES LA ESPERANZA,SINDICATO DE TRABAJADORES DE FERIAS LIBRES LA ESPERANZA,Sindicato,9751246,Metropolitana
47,SINDICATO  FERIA EL ESFUERZO N°3,SINDICATO  FERIA EL ESFUERZO N°3,Sindicato,29253737,Metropolitana
48,SINDICATO DE TRABAJADORES INDEPENDIENTES DE LAS FERIAS LIBRES DE PEÑALOLÉN,SINDICATO DE TRABAJADORES INDEPENDIENTES DE LAS FERIAS LIBRES DE PEÑALOLÉN,Sindicato,29253737,Metropolitana
49,ORGANIZACIÓN DE MUJERES LAS PALMERAS DE CULIPRÁN,ORGANIZACIÓN DE MUJERES LAS PALMERAS DE CULIPRÁN,Agrupación,9751246,Metropolitana
50,SINDICATO DE TRABAJADORES INDEPENDIENTE FERIA LIBRE N°1 DE QUILICURA,SINDICATO DE TRABAJADORES INDEPENDIENTE FERIA LIBRE N°1 DE QUILICURA,Sindicato,19502491,Metropolitana
51,SINDICATO DE TRABAJADORES INDEPENDIENTES DE FERIAS LIBRES LAS PRADERAS III,SINDICATO DE TRABAJADORES INDEPENDIENTES DE FERIAS LIBRES LAS PRADERAS III,Sindicato,29253737,Metropolitana
52,AGRUPACIÓN DE EMPRENDEDORES FERIA PERSA LAS PULGAS,AGRUPACIÓN DE EMPRENDEDORES FERIA PERSA LAS PULGAS,Agrupación,29253737,Metropolitana
53,SINDICATO DE TRABAJADORES INDEPENDIENTES DE COMENRCIANTES EN FERIAS LIBRES MANUEL RODRIGUEZ DE LA FLORIDA,SINDICATO DE TRABAJADORES INDEPENDIENTES DE COMENRCIANTES EN FERIAS LIBRES MANUEL RODRIGUEZ DE LA FLORIDA,Sindicato,19502491,Metropolitana
54,SINDICATO TRABAJADORES INDEPENDIENTES N°1COMERCIANTES EN FERIA LIBRE UNION LA FLORIDA,SINDICATO TRABAJADORES INDEPENDIENTES N°1COMERCIANTES EN FERIA LIBRE UNION LA FLORIDA,Sindicato,29253737,Metropolitana
55,AGRUPACIÓN DE FERIA PERSA UNIÓN Y PROGRESO,AGRUPACIÓN DE FERIA PERSA UNIÓN Y PROGRESO,Agrupación,17454730,Metropolitana
56,SINDICATO INDEPENDIENTE DE PUDAHUEL: TENIENTE CRUZ SANTACORINA EL MORRO,SINDICATO INDEPENDIENTE DE PUDAHUEL: TENIENTE CRUZ SANTACORINA EL MORRO,Sindicato,29253737,Metropolitana
57,ASOCIACION DE TRABAJADORES DE FERIAS LIBRES DE SANTIAGO,ASOCIACION DE TRABAJADORES DE FERIAS LIBRES DE SANTIAGO,Agrupación,29253737,Metropolitana
58,SINDICATO DE TRABAJADORES INDEPENDIENTES DE FERIA LICANRAY,SINDICATO DE TRABAJADORES INDEPENDIENTES DE FERIA LICANRAY,Sindicato,29253737,Metropolitana
59,AGRUPACION SOLIDARIA  MAIPÚ PONIENTE,AGRUPACION SOLIDARIA  MAIPÚ PONIENTE,Agrupación,19502491,Metropolitana
60,SINDICATO TRABAJADORES  FERIA BAJOS DE MENA,SINDICATO TRABAJADORES  FERIA BAJOS DE MENA,Sindicato,29253737,Metropolitana
61,Agrupación De Feriantes Paredones,Agrupación De Feriantes Paredones,Agrupación,9225454,O´Higgins
62,Agrupacion Renacer El Manzano,Agrupacion Renacer El Manzano,Agrupación,8886364,O´Higgins
63,Feria agrupación emprendedores Doñihuanos (mujer emprende),Feria agrupación emprendedores Doñihuanos (mujer emprende),Agrupación,3727272,O´Higgins
64,SINDICATO DE TRABAJADORES INDEPENDIENTES EL ESFUERZO,SINDICATO DE TRABAJADORES INDEPENDIENTES EL ESFUERZO,Sindicato,7200000,O´Higgins
65,Agrupación De Artesanos Unidos Por El Arte Y La Cultura,Agrupación De Artesanos Unidos Por El Arte Y La Cultura,Agrupación,14000000,O´Higgins
66,Agrupacion Cultural Y Social Recuperando Nuestras Raices,Agrupacion Cultural Y Social Recuperando Nuestras Raices,Agrupación,4290455,O´Higgins
67,Asociacion Ferias Libres Chepica,Asociacion Ferias Libres Chepica,Asociación Gremial,5883637,O´Higgins
68,Asociacion Gremial Feriantes Coltauco,Asociacion Gremial Feriantes Coltauco,Asociación Gremial,16410909,O´Higgins
69,Sindicato De Trabajadores Independientes Feria Libre La Boca,Sindicato De Trabajadores Independientes Feria Libre La Boca,Sindicato,4545454,O´Higgins
70,Agrupación de feriantes Chepicanos,Agrupación de feriantes Chepicanos,Agrupación,7000000,O´Higgins
71,Sindicato De Trabajadores Independientes Comerciantes De Ferias Libres Número 2 Rancagua,Sindicato De Trabajadores Independientes Comerciantes De Ferias Libres Número 2 Rancagua,Sindicato,13500000,O´Higgins
72,SINDICATO DE TRABAJADORES INDEPENDIENTES Y COMERCIANTES DE FERIAS LIBRES DE CHIMBARONGO,SINDICATO DE TRABAJADORES INDEPENDIENTES Y COMERCIANTES DE FERIAS LIBRES DE CHIMBARONGO,Sindicato,25609091,O´Higgins
73,Nexos Organizacion Social Y Cultural Cunaco,Nexos Organizacion Social Y Cultural Cunaco,Agrupación,3863636,O´Higgins
74,Feria Cultural Gultro Las Pulgas,Feria Cultural Gultro Las Pulgas,Agrupación,4033327,O´Higgins
75,SINDICATO INDEPENDIENTE N° 2 DE EMPRENDEDORES DE LA FERIA DE ROSARIO,SINDICATO INDEPENDIENTE N° 2 DE EMPRENDEDORES DE LA FERIA DE ROSARIO,Sindicato,8000000,O´Higgins
76,Sindicato Independiente De Trabajadores De Ferias Libres De Santa Cruz,Sindicato Independiente De Trabajadores De Ferias Libres De Santa Cruz,Sindicato,19818181,O´Higgins
77,Asociación Gremial De Comerciantes Y Agricultores De Feria Libre De Abastecimientos San Vicente T.T,Asociación Gremial De Comerciantes Y Agricultores De Feria Libre De Abastecimientos San Vicente T.T,Asociación Gremial,19454545,O´Higgins
78,Sindicato Independiente De Trabajadores De Ferias Libres De La Comuna De San Vicente,Sindicato Independiente De Trabajadores De Ferias Libres De La Comuna De San Vicente,Sindicato,15590909,O´Higgins
79,Feria Las Pulgas,Feria Las Pulgas,Agrupación,20445455,O´Higgins
80,Feria bicentenario,Feria bicentenario,Agrupación,14127863,O´Higgins
81,ASOCIACION GREMIAL DE PEQUEÑOS AGRICULTORES DEL CAMPO A SU MESA DE LINARES,ASOCIACION GREMIAL DE PEQUEÑOS AGRICULTORES DEL CAMPO A SU MESA DE LINARES,Asociación Gremial,30000000,Maule
82,ASOCIACIÓN DE AGRICULTORES DEL MAULE SUR Y SU TIERRA ENCANTADORA AG.,ASOCIACIÓN DE AGRICULTORES DEL MAULE SUR Y SU TIERRA ENCANTADORA AG.,Asociación Gremial,30000000,Maule
83,SINDICATO TRABAJADORAS INDEPENDIENTES VENDEDORAS DE PESCADOS Y MARISCOS DE LA COMUNA DE CAUQUENES,SINDICATO TRABAJADORAS INDEPENDIENTES VENDEDORAS DE PESCADOS Y MARISCOS DE LA COMUNA DE CAUQUENES,Sindicato,27272727,Maule
84,CENTRO CULTURAL SOCIAL TUE,CENTRO CULTURAL SOCIAL TUE,Agrupación,24927272,Maule
85,CHACRAS DEL CAMPO PUTUGANO,CHACRAS DEL CAMPO PUTUGANO,Agrupación,12041818,Maule
86,ECOFERIA ALTERNATIVA CURICO,ECOFERIA ALTERNATIVA CURICO,Agrupación,8890909,Maule
87,MANOS EMBRUJADAS VICHUQUEN,MANOS EMBRUJADAS VICHUQUEN,Agrupación,6772727,Maule
88,AGRUPACIÓN DE TRABAJADORES INDEPENDIENTES FERIA LIBRE,AGRUPACIÓN DE TRABAJADORES INDEPENDIENTES FERIA LIBRE,Agrupación,21000000,Maule
89,SINDICATO DE TRABAJADORES INDEPENDIENTES EMPRENDEDORAS ESPERANZA,SINDICATO DE TRABAJADORES INDEPENDIENTES EMPRENDEDORAS ESPERANZA,Sindicato,6138545,Maule
90,SINDICATO DE TRABAJADORES INDEPENDIENTES COMERCIANTES AMBULANTES LOS EMPRENDEDORES,SINDICATO DE TRABAJADORES INDEPENDIENTES COMERCIANTES AMBULANTES LOS EMPRENDEDORES,Sindicato,9912480,Maule
91,Comité de Feria Libre Quirihue,Comité de Feria Libre Quirihue,Comité,10000000,Ñuble
92,Sindicato de trabajadores independientes comerciantes de ferias libres y ramos a fines de la region de Ñuble,Sindicato de trabajadores independientes comerciantes de ferias libres y ramos a fines de la region de Ñuble,Sindicato,10941301,Ñuble
93,Agrupación Solidaria y cualtural de productores y artesanos Pueblo Seco ,Agrupación Solidaria y cualtural de productores y artesanos Pueblo Seco ,Agrupación,9090909,Ñuble
94,Asociación de Mujeres Campesinas de Penco,Asociación de Mujeres Campesinas de Penco,Agrupación,5000000,Biobío
95,SIND.TRAB IND. FERIAS LIBRES NEGRETE,SIND.TRAB IND. FERIAS LIBRES NEGRETE,Sindicato,7000000,Biobío
96,SIND.TRAB IND. FERIAS LIBRES Y AMB. DE LAJA,SIND.TRAB IND. FERIAS LIBRES Y AMB. DE LAJA,Sindicato,23000000,Biobío
97,SIND. DE FERIAS LIBRES LIBRES ROTATIVAS PENCO-LIRQUEN,SIND. DE FERIAS LIBRES LIBRES ROTATIVAS PENCO-LIRQUEN,Sindicato,16000000,Biobío
98,AGRUPACION FERIA ARAUCO,AGRUPACION FERIA ARAUCO,Agrupación,8379750,Biobío
99,COMITE DE FERIANTES UNIDOS SAN PEDRO DE LA PAZ,COMITE DE FERIANTES UNIDOS SAN PEDRO DE LA PAZ,Comité,23000000,Biobío
100,SINDICATO N° 1 FERIAS LIBRES CONCEPCION,SINDICATO N° 1 FERIAS LIBRES CONCEPCION,Sindicato,23000000,Biobío
101,SIND. TRAB IND. DE COM. FERIA LIBRE TIERRA BELLA CHIGUAYANTE,SIND. TRAB IND. DE COM. FERIA LIBRE TIERRA BELLA CHIGUAYANTE,Sindicato,27000000,Biobío
102,ASOC. GREMIAL FERIA HORTICOLA A.G.,ASOC. GREMIAL FERIA HORTICOLA A.G.,Asociación Gremial,10000000,Biobío
103,SINDICATO DE TRABAJADORES INDEPENDIENTES RUCAPILLAN LICAN RAY,SINDICATO DE TRABAJADORES INDEPENDIENTES RUCAPILLAN LICAN RAY,Sindicato,9318181,Araucanía
104,AGRUPACIÓN AGROECOLOGICA PUCÓN,AGRUPACIÓN AGROECOLOGICA PUCÓN,Agrupación,22727273,Araucanía
105,COMITÉ DE ADELANTOS SECCIÓN A EL ESFUERZO,COMITÉ DE ADELANTOS SECCIÓN A EL ESFUERZO,Comité,25073909,Araucanía
106,ARTESANOS DE LONQUIMAY,ARTESANOS DE LONQUIMAY,Agrupación,6000000,Araucanía
107,COMUNIDAD INDÍGENA JOSÉ LUIS CANIULEF,COMUNIDAD INDÍGENA JOSÉ LUIS CANIULEF,Agrupación,24272727,Araucanía
108,COMITE DE PEQUEÑOS COMERCIANTES Y AMBULANTES LA CALETA DE PTO SAAVEDRA,COMITE DE PEQUEÑOS COMERCIANTES Y AMBULANTES LA CALETA DE PTO SAAVEDRA,Comité,27272727,Araucanía
109,FERIA COSTUMBRISTA LIUMALLA,FERIA COSTUMBRISTA LIUMALLA,Agrupación,13120620,Araucanía
110,AGRUPACION DE COMERCIANTES,AGRUPACION DE COMERCIANTES,Agrupación,29454546,Araucanía
111,AGRUPACIÓN DE MUJERES TEJEDORAS KOM PU NEWEN,AGRUPACIÓN DE MUJERES TEJEDORAS KOM PU NEWEN,Agrupación,8818182,Araucanía
112,SIND TRABAJADORES INDEPENDIENTES FERIA LIBRE LOS CONFINES PROVINCIA DE MALLECO,SIND TRABAJADORES INDEPENDIENTES FERIA LIBRE LOS CONFINES PROVINCIA DE MALLECO,Sindicato,27327273,Araucanía
113,AGRUPACIÓN FERIA CAMPESINA,AGRUPACIÓN FERIA CAMPESINA,Agrupación,22363636,Araucanía
114,AGRUPACION DE PRODUCTORES SILVOAGROPECUARIA DEL SECTOR RURAL DE LA COMUNA DE TRAIGUEN,AGRUPACION DE PRODUCTORES SILVOAGROPECUARIA DEL SECTOR RURAL DE LA COMUNA DE TRAIGUEN,Agrupación,17590909,Araucanía
115,Feria Costumbrista Newen Ñuke Mapu,Feria Costumbrista Newen Ñuke Mapu,Agrupación,5000000,Los Ríos
116,Asociación Indigena Kuchepen Mapu,Asociación Indigena Kuchepen Mapu,Agrupación,5000000,Los Ríos
117,Mujeres Emprendedoras de Malalhue,Mujeres Emprendedoras de Malalhue,Agrupación,5000000,Los Ríos
118,RED DE TURISMO RURAL HUMEDAL DE TRUMAO Y ALREDEDORES,RED DE TURISMO RURAL HUMEDAL DE TRUMAO Y ALREDEDORES,Agrupación,6952636,Los Ríos
119,Comité de feriantes el huerto,Comité de feriantes el huerto,Agrupación,5000000,Los Ríos
120,Agrupación de productores agroecologicos Ñuke Mapu,Agrupación de productores agroecologicos Ñuke Mapu,Agrupación,5000000,Los Ríos
121,Organización de Emprendedoras y Emprendedores Paillaco Renovado,Organización de Emprendedoras y Emprendedores Paillaco Renovado,Agrupación,18367273,Los Ríos
122,Asociación Gremial Feria 21 de Mayo,Asociación Gremial Feria 21 de Mayo,Asociación Gremial,8792727,Los Ríos
123,Agrupacion Social y Productiva Feragrart,Agrupacion Social y Productiva Feragrart,Agrupación,5000000,Los Ríos
124,Agrupación de Feriantes Plazoleta Independencia,Agrupación de Feriantes Plazoleta Independencia,Agrupación,5000000,Los Ríos
125,COMITE DE PEQUEÑOS CHACAREROS DE LA UNION,COMITE DE PEQUEÑOS CHACAREROS DE LA UNION,Comité,18181818,Los Ríos
126,Comité de Feriantes Altos de Alerce,Comité de Feriantes Altos de Alerce,Comité,17839695,Los Lagos
127,"Feria de Chacareros y Otros, Sector Costa San Pablo","Feria de Chacareros y Otros, Sector Costa San Pablo",Agrupación,9216030,Los Lagos
128,Agrupación Social y cultural Chacras de Bellavista,Agrupación Social y cultural Chacras de Bellavista,Agrupación,5625121,Los Lagos
129,Agrupación rural de feriantes Maullin,Agrupación rural de feriantes Maullin,Agrupación,5625121,Los Lagos
130,Asociación de Feriantes Unidos de Calbuco,Asociación de Feriantes Unidos de Calbuco,Agrupación,21628757,Los Lagos
131,Agrupación Feria Frutillar Rural,Agrupación Feria Frutillar Rural,Agrupación,5625121,Los Lagos
132,Agrupación social y cultural deportiva Molulco,Agrupación social y cultural deportiva Molulco,Agrupación,9716030,Los Lagos
133,Comité de Agricultores Gastronómicos de la Comuna de Quinchao,Comité de Agricultores Gastronómicos de la Comuna de Quinchao,Comité,5625121,Los Lagos
134,Agrupación de pequeños productores silvoagropecuarios Punto Verde,Agrupación de pequeños productores silvoagropecuarios Punto Verde,Agrupación,5625121,Los Lagos
135,Feria de Emprendedoras y Artesanos Sector Costa San Pablo,Feria de Emprendedoras y Artesanos Sector Costa San Pablo,Agrupación,5625121,Los Lagos
136,Feria Emprendedoras La Colmena de Trumao,Feria Emprendedoras La Colmena de Trumao,Agrupación,5625121,Los Lagos
137,Agrupación El Caleuche,Agrupación El Caleuche,Agrupación,5625121,Los Lagos
138,Agrupación de Feriantes Unión y Fuerza,Agrupación de Feriantes Unión y Fuerza,Agrupación,5625121,Los Lagos
139,Agrupación de feriantes locales fresco y sano Lemuy,Agrupación de feriantes locales fresco y sano Lemuy,Agrupación,5625121,Los Lagos
140,Agrupación de Artesanas de Emprendimiento Social Comunitario Cultural Tejiendo Sueños,Agrupación de Artesanas de Emprendimiento Social Comunitario Cultural Tejiendo Sueños,Agrupación,9806939,Los Lagos
141,Agrupación CASC de Purranque,"Agrupación campesina,ambiental,social y cultural de Purranque",Agrupación,10616030,Los Lagos
142,Asociación de Locatarios del Mercado Municipal Maullin,Asociación de Locatarios del Mercado Municipal Maullin,Agrupación,5625121,Los Lagos
143,Feria de chacareros y emprendedores la poza,Feria de chacareros y emprendedores la poza,Agrupación,5625126,Los Lagos
144,"Agrupación campesina, ambiental, social y cultural de Purranque","Agrupación campesina, ambiental, social y cultural de Purranque",Agrupación,7214602,Los Lagos
145,FERIAS LIBRES AGROPECUARIAS,FERIAS LIBRES AGROPECUARIAS,Agrupación,5687545,Aysén
146,FERIA LIBRE ERRAZURIZ,FERIA LIBRE ERRAZURIZ,Agrupación,5036000,Aysén
147,GRUPO DE ARTESANOS DE LA GALERIA DE PTO. AYSÉN,GRUPO DE ARTESANOS DE LA GALERIA DE PTO. AYSÉN,Agrupación,7274244,Aysén
148,COMITÉ DE HORTICULTORES GRANJA MUNICIPAL DE PTO. IBÁÑEZ,COMITÉ DE HORTICULTORES GRANJA MUNICIPAL DE PTO. IBÁÑEZ,Comité,7274244,Aysén
149,Agrupación de Gente de Mar independiente,Agrupación de Gente de Mar independiente,Agrupación,14161179,Magallanes y Antártica Chilena
150,ASOCIACIÓN GREMIAL PUEBLO ARTESANAL ETHERH AIKE,ASOCIACIÓN GREMIAL PUEBLO ARTESANAL ETHERH AIKE,Asociación Gremial,9511455,Magallanes y Antártica Chilena
151,ASOCIACION GREMIAL DE HUERTEROS DE PUERTO NATALES,ASOCIACION GREMIAL DE HUERTEROS DE PUERTO NATALES,Asociación Gremial,6142996,Magallanes y Antártica Chilena
