Ley Presupuesto,,,Denominación,Línea de Servicio o Programa,Enlace a nómima de beneficiarios,Antecedentes Persona o entidad ejecutora,,,,,,,,,,,,,,,,,,
Sub Título,Ítem,Asig,,,,Nro. Adquisición,Nombre  Adquisición,Nombre persona o entidad ejecutora,Monto adjudicado,Región,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Corporación de Desarrollo Productivo de Tarapacá,6500000,Tarapacá,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Corporación de Desarrollo Productivo de Tarapacá,4330000,Tarapacá,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),PRAXIS GESTOR CAPACITACIÓN LTDA.,5200000, Antofagasta,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),PRAXIS GESTOR CAPACITACIÓN LTDA.,3464000, Antofagasta,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),CHILE CONSULTOR EIRL,5200000,Atacama,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),CHILE CONSULTOR EIRL,3464000,Atacama,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Capacitación y Desarrollo Humano Sociedad de Profesionales Limitada. Senda ltda,7150000,Coquimbo,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Capacitación y Desarrollo Humano Sociedad de Profesionales Limitada. Senda ltda,4763000,Coquimbo,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,9100000,Valparaíso,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,6062000,Valparaíso,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Santiago Innova,13260000,Metropolitana,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Santiago Innova,8829120,Metropolitana,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"IDACC (Sociedad de ingeniería, estudio, desarrollo & asesorías empresariales)",6500000,O´Higgins,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"IDACC (Sociedad de ingeniería, estudio, desarrollo & asesorías empresariales)",4330000,O´Higgins,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación CRATE,10010000,Maule,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación CRATE,6513072,Maule,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,13260000,Ñuble,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,8425200,Ñuble,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,12350000,Biobío,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,6304471,Biobío,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,15730000,Araucanía,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,10478600,Araucanía,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"Asesorías Ferrada, González y Ramírez Limitada",12220000,Los Ríos,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"Asesorías Ferrada, González y Ramírez Limitada",7634471,Los Ríos,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,14300000,Los Lagos,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,9526000,Los Lagos,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),GESTCAP CHILE LTDA.,3900000,Aysén,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),GESTCAP CHILE LTDA.,2598000,Aysén,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"Centro de Capacitación y Desarrollo Empresarial, Chile. CENPADECH",3900000, Magallanes y Antártica Chilena,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"Centro de Capacitación y Desarrollo Empresarial, Chile. CENPADECH",2598000, Magallanes y Antártica Chilena,,,,,,,,,,,,,,
,,,,,,585-15-LQ21,Servicio Administración Plataforma de Formación Empresarial- Ruta Digital- Digitaliza Tu Pyme 2021-2022,"UNIVERSIDAD DE CHILE 
(FACULTAD DE CIENCIAS FÍSICAS Y MATEMÁTICAS",52500000,Nivel Central,,,,,,,,,,,,,,
24,,131,Programa Mejoramiento Competitividad de la MIPE,MejoraNegocios,beneficiarios/as Almaceneros,Agente Operador Sercotec,Formalización y Asistencia Técnica,Consultores para el desarrollo Ltda.,8050000,12277400,Región de Antofagasta,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4227400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Codesser,7705000,12277400,Región de Arica y Parinacota,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4572400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,CHILECONSULTOR,8096000,12277400,Región de Atacama,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4181400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,GESTCAP Chile,7446406,11743600,Región de Aysén,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4297194,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,SAVIA  Consultores,11168000,17081600,Región de Coquimbo,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,5913600,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,FUDEA UFRO ,12775000,18683000,Región de La Araucanía,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,5908000,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,FUDEA UFRO,10752000,17081600,Región de Los Lagos,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,6329600,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Proyectaustral LTDA,8740000,12276480,Región de Los Ríos,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,3536480,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,FIDE XII,8360000,11743600,Región de Magallanes,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,3383600,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Codesser,8740000,12277400,Región de Ñuble,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,3537400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,FyJ Consultores,8096000,12277400,Región de O'Higgins,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4181400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Codem,8050000,12277400,Región de Tarapacá,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,4227400,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Codesser,10756256,17081600,Región de Valparaíso,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,6325344,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Avanzar SPA,11904000,17081600,Región del Biobío,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,5177600,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Alta Gestion EIRL,14288000,21914376,Región del Maule,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,7626376,,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Formalización y Asistencia Técnica,Direxiona Capacitación Limitada,14868000,22419580,Región Metropolitana,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,"Evaluación, gastos administrativos (garantías) y seguimiento financiero",,7551580,,,,,,,,,,,,,,,
24,,132,Programa de Emprendedores,Emprende,Beneficiarios/as de Capital Abeja Emprende,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,16080000,Arica Parinacota,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,8121600,Arica Parinacota,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),CHILE CONSULTOR E.I.R.L,20368000,Tarapacá,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),CHILE CONSULTOR E.I.R.L,10271649,Tarapacá,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),CONSULTORES PARA EL DESARROLLO EMPRESARIAL LTDA. –CODEM,25400000,Antofagasta,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),CONSULTORES PARA EL DESARROLLO EMPRESARIAL LTDA. –CODEM,14508000,Antofagasta,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"Experiencia profesional en Capacitación EIRL, (Expro)",13400000,Atacama,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"Experiencia profesional en Capacitación EIRL, (Expro)",6768000,Atacama,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Savia Consultores SPA,26264000,Coquimbo,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Savia Consultores SPA,11932181,Coquimbo,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Grupo G2000,12075000,Valparaíso,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Grupo G2001,7041500,Valparaíso,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),PROAXIS SPA,33390000,Valparaíso,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),PROAXIS SPA,18450000,Valparaíso,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),G2000 Ingenieros Consultores,62965080,Metropolitana,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),G2000 Ingenieros Consultores,32459302,Metropolitana,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),F y J Consultores SpA,38592000,Ohiggins,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),F y J Consultores SpA,19457810,Ohiggins,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Gestaidea LTDA.,42148000,Maule,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Gestaidea LTDA.,20181152,Maule,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Sociedad Comercial y de Servicios Valdivia L.A. Limitada ,16080000,Ñuble,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Sociedad Comercial y de Servicios Valdivia L.A. Limitada ,8121600,Ñuble,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Direxiona,62176000,Biobío,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Direxiona,26636800,Biobío,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,55208000,Araucanía,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,25719914,Araucanía,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,17152000,Los Ríos,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación de Desarrollo Educacional La Araucanía FUDEA UFRO,8663040,Los Ríos,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),AL SUR Consultores LTDA. ,36984000,Los Lagos,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),AL SUR Consultores LTDA. ,18645225,Los Lagos,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,13400000,Aysén,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,5273942,Aysén,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"Centro de Capacitación y Desarrollo Empresarial, Chile. CENPADECH",26264000,Magallanes,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"Centro de Capacitación y Desarrollo Empresarial, Chile. CENPADECH",11287951,Magallanes,Semilla,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,21440000,Arica Parinacota,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,10828800,Arica Parinacota,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),CHILE CONSULTOR E.I.R.L,16080000,Tarapacá,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),CHILE CONSULTOR E.I.R.L,8121600,Tarapacá,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Consultora Expro Ltda. ,16080000,Antofagasta,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Consultora Expro Ltda. ,8121600,Antofagasta,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Chile Consultor,16080000,Atacama,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Chile Consultor,8121600,Atacama,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Savia Consultores SPA,29480000,Coquimbo,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Savia Consultores SPA,14889600,Coquimbo,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),CICAL,71073000,Valparaíso,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),CICAL,36208120,Valparaíso,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Direxiona Ltda.,83616000,Metropolitana,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Direxiona Ltda.,42232320,Metropolitana,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Direxiona Ltda.,46632000,Ohiggins,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Direxiona Ltda.,23552640,Ohiggins,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Fundación Crate,46620000,Maule,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Fundación Crate,23937748,Maule,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Servicios Profesionales Spa (AVANZAR CONSULTORES),14880000,Ñuble,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Servicios Profesionales Spa (AVANZAR CONSULTORES),7986480,Ñuble,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),VALDIVIA LA LTDA.,69680000,Biobío,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),VALDIVIA LA LTDA.,30498104,Biobío,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Sociedad Paradigma Limitada,55744000,Araucanía,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Sociedad Paradigma Limitada,26074880,Araucanía,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,19296000,Los Ríos,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,9745920,Los Ríos,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),AL SUR Consultores LTDA. ,43416000,Los Lagos,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),AL SUR Consultores LTDA. ,21928320,Los Lagos,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Consultores de la Patagonia SpA. ,18760000,Aysén,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Consultores de la Patagonia SpA. ,9475200,Aysén,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),"Fundación para el Desarrollo de la XII Región de Magallanes, FIDE XII",22512000,Magallanes,Abeja,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),"Fundación para el Desarrollo de la XII Región de Magallanes, FIDE XII",10170240,Magallanes,Abeja,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,Benef_GR!A1,Agente operador Sercotec,Codesser,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,"33.635.000
",ARICA Y PARINACOTA ,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,"4.500.000
",,,,,,,,,,,,,,,
24,,,,,,,,Apoyo a la postulación,210000,,,,,,,,,,,,,,,
24,,,,,,,,Garantías,209.586,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Corporación de Desarrollo Productivo Tarapacá,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,3750000,Tarapacá,,,,,,,,,,,,,,
24,,,,,,,,ASISTENCIA FINANCIERA DE RENDICIONES,2000000,,,,,,,,,,,,,,,
,,,,,,,,Apoyo a la postulación,0,,,,,,,,,,,,,,,
24,,,,,,,,Garantias,310000,,,,,,,,,,,,,,,
24,,133,Programa Dirigido a Grupos de Empresas Asociatividad,Fortalecimiento Gremial y cooperativo,,Agente operador Sercotec,Experiencia Profesional en Capacitación EIRL,FORMALIZACIÓN Y ASISTENCIA TÉCNICA DE EJECUCIÓN,3000000,Antofagasta,,,,,,,,,,,,,,
